year,month,orig,dest,count
2015,8,E01008918,E01033620,116
2015,8,E01008918,E01033627,10
2015,8,E01008918,E01033639,12
2015,8,E01008919,E01008992,39
2015,8,E01008919,E01009068,49
2015,8,E01008919,E01009069,72
2015,8,E01008919,E01033620,60
2015,8,E01008920,E01008923,12
2015,8,E01008920,E01008992,18
2015,8,E01008920,E01009068,23
2015,8,E01008920,E01009069,41
2015,8,E01008920,E01033620,28
2015,8,E01008920,E01033629,10
2015,8,E01008921,E01008923,16
2015,8,E01008921,E01033620,13
2015,8,E01008923,E01008923,17
2015,8,E01008923,E01008925,29
2015,8,E01008923,E01008961,11
2015,8,E01008923,E01008992,34
2015,8,E01008923,E01009068,28
2015,8,E01008923,E01009069,57
2015,8,E01008923,E01009219,48
2015,8,E01008923,E01009497,33
2015,8,E01008923,E01009499,38
2015,8,E01008923,E01033620,65
2015,8,E01008923,E01033629,22
2015,8,E01008925,E01008923,18
2015,8,E01008925,E01009068,10
2015,8,E01008925,E01033620,19
2015,8,E01008927,E01008923,12
2015,8,E01008927,E01033620,10
2015,8,E01008928,E01008923,36
2015,8,E01008928,E01008992,21
2015,8,E01008928,E01009068,15
2015,8,E01008928,E01009069,43
2015,8,E01008928,E01033620,28
2015,8,E01008928,E01033629,10
2015,8,E01008929,E01009219,39
2015,8,E01008929,E01009497,18
2015,8,E01008929,E01009499,25
2015,8,E01008929,E01009501,25
2015,8,E01008929,E01033620,22
2015,8,E01008930,E01009219,14
2015,8,E01008930,E01009499,11
2015,8,E01008931,E01009068,14
2015,8,E01008931,E01009069,37
2015,8,E01008931,E01033620,20
2015,8,E01008932,E01009175,12
2015,8,E01008932,E01009178,11
2015,8,E01008932,E01009371,18
2015,8,E01008932,E01033615,23
2015,8,E01008932,E01033620,75
2015,8,E01008933,E01008933,25
2015,8,E01008933,E01008939,13
2015,8,E01008933,E01008940,28
2015,8,E01008933,E01008945,15
2015,8,E01008933,E01008948,28
2015,8,E01008933,E01009018,26
2015,8,E01008933,E01009175,35
2015,8,E01008933,E01009178,38
2015,8,E01008933,E01009185,11
2015,8,E01008933,E01009371,20
2015,8,E01008933,E01009396,11
2015,8,E01008933,E01033615,10
2015,8,E01008933,E01033620,50
2015,8,E01008935,E01008933,28
2015,8,E01008935,E01008935,30
2015,8,E01008935,E01008937,17
2015,8,E01008935,E01008939,20
2015,8,E01008935,E01008945,26
2015,8,E01008935,E01008948,41
2015,8,E01008935,E01008978,13
2015,8,E01008935,E01009175,42
2015,8,E01008935,E01009178,136
