lsoa11cd,measure,value
E01009487,2008,228
E01009488,2008,283
E01009489,2008,148
E01009490,2008,207
E01009491,2008,170
E01009492,2008,189
E01009493,2008,145
E01009494,2008,265
E01009495,2008,256
E01009496,2008,416
E01009497,2008,318
E01009498,2008,253
E01009499,2008,258
E01009500,2008,275
E01009501,2008,263
E01009502,2008,296
E01009503,2008,263
E01009504,2008,507
E01009505,2008,341
E01009506,2008,502
E01009507,2008,365
E01009508,2008,316
E01009509,2008,256
E01009510,2008,437
E01009511,2008,221
E01009512,2008,291
E01009513,2008,227
E01009514,2008,249
E01009515,2008,453
E01009516,2008,295
E01009517,2008,330
E01009518,2008,392
E01009519,2008,356
E01009520,2008,412
E01009521,2008,305
E01009522,2008,439
E01009523,2008,563
E01009524,2008,446
E01009525,2008,379
E01009526,2008,399
E01009527,2008,237
E01009528,2008,498
E01009529,2008,291
E01009530,2008,289
E01009531,2008,537
E01009532,2008,376
E01009535,2008,466
E01009536,2008,480
E01009537,2008,354
E01009538,2008,324
E01009539,2008,266
E01009540,2008,194
E01009541,2008,410
E01009542,2008,326
E01009543,2008,151
E01009544,2008,433
E01009548,2008,366
E01009549,2008,441
E01009550,2008,342
E01009552,2008,428
E01009553,2008,168
E01009554,2008,234
E01009555,2008,397
E01009556,2008,243
E01009557,2008,417
E01009558,2008,202
E01009559,2008,520
E01009560,2008,400
E01009561,2008,484
E01009562,2008,519
E01009563,2008,447
E01009564,2008,154
E01009565,2008,215
E01009566,2008,109
E01009567,2008,199
E01009568,2008,221
E01009569,2008,142
E01009570,2008,218
E01009571,2008,210
E01009572,2008,154
E01009573,2008,159
E01009574,2008,222
E01009575,2008,156
E01009576,2008,301
E01009577,2008,200
E01009578,2008,278
E01009579,2008,289
E01009580,2008,360
E01009581,2008,345
E01009582,2008,367
E01009583,2008,359
E01009584,2008,358
E01009585,2008,115
E01009586,2008,380
E01009587,2008,225
E01009588,2008,384
E01009589,2008,247
E01009590,2008,399
E01009591,2008,239
E01009592,2008,225
E01009593,2008,375
E01009594,2008,306
E01009596,2008,205
E01009597,2008,293
E01009598,2008,495
E01009599,2008,384
E01009604,2008,284
E01009605,2008,275
E01009606,2008,292
E01009607,2008,270
E01009608,2008,305
E01009609,2008,265
E01009610,2008,298
E01009611,2008,189
E01009612,2008,218
E01009613,2008,256
E01009614,2008,277
E01009615,2008,293
E01009616,2008,259
E01009617,2008,264
E01009618,2008,281
E01009619,2008,241
E01009620,2008,350
E01009621,2008,228
E01009622,2008,302
E01009623,2008,302
E01009624,2008,232
E01009625,2008,352
E01009626,2008,281
E01009627,2008,278
E01009628,2008,340
E01009629,2008,239
