lsoa11cd,n_tot,cluster,cluster_prop
E01008934,262,3,0.07633587786259542
E01008934,262,4,0.04580152671755725
E01008934,262,5,0.05725190839694656
E01008934,262,6,0.061068702290076333
E01008935,188,1,0.43617021276595747
E01008935,188,2,0.07446808510638298
E01008935,188,3,0.0851063829787234
E01008935,188,4,0.09042553191489362
E01008935,188,5,0.10106382978723404
E01008935,188,6,0.2127659574468085
E01008936,284,1,0.5140845070422535
E01008936,284,2,0.19718309859154928
E01008936,284,3,0.05985915492957746
E01008936,284,4,0.056338028169014086
E01008936,284,5,0.06690140845070422
E01008936,284,6,0.1056338028169014
E01008937,255,1,0.49411764705882355
E01008937,255,2,0.11372549019607843
E01008937,255,3,0.07058823529411765
E01008937,255,4,0.08235294117647059
E01008937,255,5,0.07058823529411765
E01008937,255,6,0.16862745098039217
E01008938,171,1,0.49707602339181284
E01008938,171,2,0.1286549707602339
E01008938,171,4,0.1111111111111111
E01008938,171,5,0.08187134502923976
E01008938,171,6,0.18128654970760233
E01008939,215,1,0.5255813953488372
E01008939,215,2,0.08372093023255814
E01008939,215,3,0.07441860465116279
E01008939,215,4,0.07441860465116279
E01008939,215,5,0.05581395348837209
E01008939,215,6,0.18604651162790697
E01008940,170,1,0.4764705882352941
E01008940,170,2,0.14705882352941177
E01008940,170,3,0.06470588235294118
E01008940,170,4,0.1
E01008940,170,5,0.08235294117647059
E01008940,170,6,0.12941176470588237
E01008941,200,1,0.47
E01008941,200,2,0.105
E01008941,200,3,0.075
E01008941,200,4,0.105
E01008941,200,5,0.075
E01008941,200,6,0.17
E01008942,161,1,0.4968944099378882
E01008942,161,2,0.10559006211180125
E01008942,161,3,0.09937888198757763
E01008942,161,4,0.07453416149068323
E01008942,161,5,0.08695652173913043
E01008942,161,6,0.13664596273291926
E01008943,174,1,0.5689655172413793
E01008943,174,2,0.10344827586206896
E01008943,174,3,0.06321839080459771
E01008943,174,4,0.09770114942528736
E01008943,174,6,0.16666666666666666
E01008944,222,1,0.5765765765765766
E01008944,222,2,0.11711711711711711
E01008944,222,4,0.09009009009009009
E01008944,222,5,0.07657657657657657
E01008944,222,6,0.13963963963963963
E01008945,211,1,0.4881516587677725
E01008945,211,2,0.16113744075829384
E01008945,211,3,0.0995260663507109
